contract_id,contract_start_date,annual_rent,rooms,area_name
CNT2132813778,2025-09-29,20000,Office,Al Raffa
CNT2132475324,2025-10-11,41800,1,Al Nahda First
CNT2128730436,2025-02-01,120000,Showroom,Al Mararr
CNT2132117690,2025-08-10,126500,4,Al Twar Fifth
CNT2127975010,2025-01-20,55000,1,Al Suq Al Kabeer
CNT2132280147,2025-06-02,21600,Labor camp,Jabal Ali Industrial First
CNT2133684214,2025-12-01,60000,Studio,Al Barsha South Fourth
CNT2132907344,2025-10-05,49000,1,Muhaisanah Fourth
CNT2130152871,2025-03-13,15000,Office,Al Khabeesi
CNT2129377464,2025-02-10,20000,Office,Hor Al Anz
CNT2128910510,2025-01-01,43000,2,Naif
CNT2123795347,2025-01-01,99561,2,Trade Center First
CNT2130500924,2025-04-05,55000,2,Muhaisanah Fourth
CNT2132331573,2025-06-01,64000,1,Jabal Ali First
CNT2132464427,2025-09-01,15000,Office,Saih Shuaib 3
CRT2130572906,2025-04-19,82000,1,Al Merkadh
CNT2129111521,2025-01-01,51000,2,Al Qusais
CNT2131367647,2025-06-07,66702,1,Al Barsha First
CNT2132899048,2025-10-04,10000,Office,Al Rega
CNT2123800415,2025-01-17,95000,2,Mirdif
CNT2133581136,2025-12-25,175000,3,Marsa Dubai
CNT2131891538,2025-08-01,32760,2,Al Qusais
CNT2131346587,2025-06-13,47817,1,Jabal Ali First
CNT2132988819,2025-10-10,48000,Studio,Al Barsha South Third
CNT2134066910,2025-12-31,25200,1,Al Qusais
CNT2133004985,2025-10-02,65500,1,Jabal Ali First
CNT2131699759,2025-08-20,95000,2,Al Barsha First
CNT2131414956,2025-06-21,20000,Office,Dubai Investment Park First
CNT2132991848,2025-10-19,38036,2,Muhaisanah Fourth
CNT2130468766,2025-04-10,70000,2,Warsan Fourth
CNT2130756713,2025-05-02,21000,Office,Port Saeed
CRT2134311286,2026-01-19,60000,1,Al Hamriya
CRT2130478216,2025-04-10,180000,3,Al Thanyah Third
CNT2129692524,2025-02-14,15000,Office,Business Bay
CNT2128295766,2025-02-01,70560,2,Al Murqabat
CNT2124959561,2025-01-10,122892,3,Al Jadaf
CNT2131748362,2025-02-01,21000,Studio,Naif
CRT2128127086,2025-01-27,175000,2,Marsa Dubai
CNT2131000570,2025-05-10,77000,2,Oud Metha
CNT2131740107,2025-06-01,80000,2,Me'Aisem First
CRT2132711746,2025-04-21,24500,Studio,Al Raffa
CNT2130411189,2025-04-06,24915,1,Hor Al Anz
CNT2132650712,2025-04-01,32000,Shop,Naif
CNT2134040288,2025-12-30,69500,Studio,Jabal Ali First
CNT2130633663,2025-05-24,33871,1,Al Warsan First
CNT2133792540,2025-12-09,20000,Office,Port Saeed
CNT2133958485,2025-12-23,30000,Office,Business Bay
CNT2128579028,2025-01-28,15000,Office,Um Hurair Second
CNT2128131986,2025-01-25,46000,1,Warsan Fourth
CRT2127353626,2025-01-03,42000,Studio,Al Hebiah Fourth
CNT2130327824,2025-03-23,57000,1,Al Barsha South Third
CNT2131253128,2025-06-10,20000,Office,Mankhool
CNT2132776136,2025-09-25,15000,Office,Al Khabeesi
CNT2130775788,2025-04-15,58433,1,Al Barsha First
CNT2132955659,2025-09-08,53000,1,Nad Hessa
CRT2131393636,2025-03-01,20000,Shop,Al Twar Fourth
CNT2130071996,2025-01-15,49450,Office,Al Qusais Industrial Fourth
CNT2134122102,2026-01-01,60500,Office,Al Khabeesi
CNT2131877556,2025-08-10,71400,2,Al Bada
CNT2133703161,2025-12-03,5000,Office,Al Thanyah First
CNT2130256248,2025-03-22,15000,Office,Al Khabeesi
CNT2132026706,2025-06-22,63000,2,Al Qusais
CNT2133232921,2025-10-29,15000,Office,Saih Shuaib 3
CNT2134088084,2026-01-15,61500,1,Al Jadaf
CNT2132601769,2025-09-12,10000,Office,Um Hurair Second
CNT2131034816,2025-03-24,139783,1,Al Wasl
CNT2130434774,2025-01-25,40000,2,Jabal Ali Industrial First
CNT2134225228,2026-01-13,17000,Office,Al Mararr
CNT2130152017,2025-03-01,60000,Office,Ras Al Khor Industrial Third
CNT2132165267,2025-08-10,62000,1,Jabal Ali First
CRT2127484016,2025-01-15,85000,2,Jabal Ali First
CNT2129978801,2025-03-01,56000,1,Nad Hessa
CNT2127345271,2025-01-04,55000,Studio,Al Thanyah Fifth
CRT2132723276,2025-10-01,55000,Studio,Al Barsha South Fourth
CNT2132999327,2025-10-13,20000,Office,Saih Shuaib 2
CNT2129951322,2025-03-11,29000,Studio,Nad Hessa
CRT2132952006,2025-10-20,60000,1,Jabal Ali Industrial Second
CRT2130201296,2025-03-20,53000,1,Al Hebiah Fourth
CNT2130986494,2025-06-15,28350,Studio,Wadi Al Safa 5
CRT2133587236,2025-11-10,70000,1,Jabal Ali First
CNT2133452117,2025-11-12,83000,1,Jabal Ali First
CRT2128082816,2025-01-15,20000,Studio,Al Warsan First
CNT2132907977,2025-09-15,70000,2,Al Barsha South Fourth
CRT2132553606,2025-05-15,70000,3,Abu Hail
CNT2129191922,2025-02-06,15000,Office,Hor Al Anz
CNT2129602447,2025-02-14,55000,2,Al Warqa First
CNT2130333498,2025-04-05,48000,1,Al Warqa First
CNT2132309615,2025-08-19,15000,Office,Business Bay
CNT2130473431,2025-04-12,15000,Office,Al Barsha First
CNT2130859677,2025-05-10,15000,Office,Hor Al Anz
CNT2130717860,2025-05-01,150000,3,Al Jafliya
CNT2132339661,2025-03-15,38400,Room in labor camp,Dubai Investment Park First
CNT2133174248,2025-10-13,70000,2,Al Murqabat
CNT2131255170,2025-06-01,66339,1,Al-Cornich
CNT2132270032,2025-09-28,77462,Office,Nad Hessa
CNT2124334676,2025-01-01,49508,1,Dubai Investment Park First
CNT2132968890,2025-10-05,132000,4,Al Thanyah First
CNT2133081757,2025-07-31,40000,Shop,Al Lusaily
CRT2133313566,2025-12-01,130000,2,Marsa Dubai
CNT2130608189,2025-04-01,89967,2,Al Karama
CNT2130584404,2025-04-25,32000,Studio,Al Goze Industrial Second
CNT2132910952,2025-10-06,15000,Office,Saih Shuaib 3
CRT2132464406,2025-10-21,95000,1,Al Merkadh
CNT2133077501,2025-08-01,58000,2,Muhaisanah Fourth
CNT2127805993,2025-01-01,45100,Shop,Ras Al Khor Industrial Third
CNT2134002019,2025-12-20,75000,2,Naif
CRT2130747296,2025-05-10,72000,1,Marsa Dubai
CRT2132531526,2025-09-01,55000,Studio,Al Barsha South Fourth
CNT2132843765,2025-11-25,59000,2,Al Nahda First
CRT2132374136,2025-08-30,55000,1,Al Hebiah Fifth
CNT2130935028,2025-05-22,179200,Office,Al Mamzer
CNT2130771921,2025-05-05,15000,Office,Al Goze Third
CNT2131650349,2025-06-24,39600,1,Dubai Investment Park Second
CNT2130417370,2025-04-08,15000,Office,Al Khabeesi
CNT2130060009,2025-03-06,15000,Office,Al Goze Industrial First
CNT2133059341,2025-10-01,62000,1,Al Murqabat
CNT2133240523,2025-10-01,45000,Studio,Jabal Ali First
CNT2133542943,2025-11-24,54000,1,Warsan Fourth
CNT2132030843,2025-07-19,150000,2,Trade Center First
CNT2130164500,2025-03-14,20000,Office,Ras Al Khor Industrial Second
CNT2133227778,2025-10-29,17000,Office,Al Goze First
CNT2131810776,2025-07-12,15000,Office,Al Mararr
CNT2132966303,2025-10-05,72600,Office,Al Goze First
CNT2129838380,2025-02-01,30550,Studio,Jabal Ali First
CRT2132164406,2025-08-01,167000,3,Marsa Dubai
CNT2132698538,2025-09-06,78120,Office,Nad Hessa
CNT2134033026,2025-12-17,89000,3,Naif
CNT2127822488,2025-01-11,15000,Office,Hor Al Anz
CNT2133253085,2025-10-30,17000,Office,Abu Hail
CNT2134068174,2026-01-02,15000,Office,Al Garhoud
CNT2132366103,2025-09-01,50000,1,Madinat Al Mataar
CNT2133569125,2025-11-20,16000,Office,Business Bay
CNT2127033974,2025-03-07,28000,Studio,Naif
CNT2133215761,2025-12-10,34000,Studio,Al Nahda Second
CNT2131012243,2025-05-21,15000,Office,Al Khabeesi
