transaction_id,trans_group,procedure_name,instance_date,property_type,property_sub_type,property_usage,reg_type,area_name,building_name,project_name,nearest_landmark,nearest_metro,nearest_mall,rooms,has_parking,procedure_area,actual_worth,meter_sale_price,area_sqft,Price_Per_SqFt
1-102-2025-125678,Sales,Sell - Pre registration,2025-12-09,Unit,Flat,Residential,Off-Plan,Madinat Dubai Almelaheyah,Franck Muller Yachting,Franck Muller Yachting,Burj Khalifa,Al Ghubaiba Metro Station,Dubai Mall,1,1,90.0,2168000.0,24088.89,968.76,2237.9123828399192
1-11-2024-10802,Sales,Sell,2024-03-25,Villa,Villa,Residential,Existing,Wadi Al Safa 5,BANYAN TREE RESIDENCES HILLSIDE DUBAI,AMARANTA 2 ,IMG World Adventures,Damac Properties,Marina Mall,3,0,160.62,2140000.0,13323.37,1728.9136799999999,1237.771454269481
1-102-2025-92678,Sales,Sell - Pre registration,2025-09-23,Unit,Flat,Residential,Off-Plan,Hadaeq Sheikh Mohammed Bin Rashid,Rosehill Block B,Rosehill,IMG World Adventures,Business Bay Metro Station,Dubai Mall,1,1,69.21,1621888.0,23434.3,744.9764399999999,2177.099721435486
1-102-2024-16901,Sales,Sell - Pre registration,2024-03-18,Unit,Flat,Residential,Off-Plan,Al Barsha South Fourth,CONCEPT 7 RESIDENCES,CONCEPT 7 RESIDENCES ,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1,1,65.23,1042849.0,15987.26,702.13572,1485.2527371773651
1-11-2024-30009,Sales,Sell,2024-08-14,Unit,Flat,Residential,Existing,Business Bay,ATRIA RA,THE ATRIA,Downtown Dubai,Business Bay Metro Station,Dubai Mall,1,1,80.68,1250000.0,15493.31,868.43952,1439.3633306784564
1-102-2024-7306,Sales,Sell - Pre registration,2024-02-06,Unit,Flat,Residential,Off-Plan,Jabal Ali First,EQUITI ARCADE,EQUITI ARCADE,Expo 2020 Site,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,2,1,111.28,1127022.0,10127.8,1197.81792,940.8959251502934
1-102-2024-105887,Sales,Sell - Pre registration,2024-12-18,Unit,Flat,Residential,Off-Plan,Al Barsha South Fourth,ALEF NOON RESIDENCE,ALEF NOON RESIDENCE,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1,1,118.87,800000.0,6730.04,1279.51668,625.2360852380604
1-102-2024-4595,Sales,Sell - Pre registration,2024-01-26,Unit,Flat,Residential,Off-Plan,Al Barsha South Fifth,LILIUM TOWER,LILIUM TOWER,Sports City Swimming Academy,Damac Properties,Marina Mall,1,1,67.47,890773.0,13202.5,726.24708,1226.5426251352364
1-102-2024-50984,Sales,Sell - Pre registration,2024-07-16,Unit,Flat,Residential,Off-Plan,Madinat Al Mataar,Sky Residences 2,Expo City Sky Residences,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1,1,86.86,1939350.0,22327.31,934.9610399999999,2074.2575540901685
1-11-2024-33398,Sales,Sell,2024-09-09,Unit,Flat,Residential,Existing,Al Merkadh,Sobha Creek Vistas Reserve,Sobha Creek vistas Reserve,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2,1,74.98,1300000.0,17337.96,807.08472,1610.735487595404
1-11-2025-4200,Sales,Sell,2025-02-03,Unit,Flat,Residential,Existing,Al Thanyah Third,AL Dhafrah-4,TANARO,Burj Al Arab,Dubai Internet City,Marina Mall,2,1,133.89,2100000.0,15684.52,1441.1919599999997,1457.127196296599
1-102-2025-36233,Sales,Sell - Pre registration,2025-06-26,Unit,Flat,Residential,Off-Plan,Jabal Ali First,California 2 by SD,California 2 by SD,IMG World Adventures,Jumeirah Lakes Towers,Marina Mall,1,1,92.69,1140064.0,12299.75,997.71516,1142.6748291566503
1-11-2025-25511,Sales,Sell,2025-06-19,Unit,Flat,Residential,Existing,Um Suqaim Third,Jadeel 3,Jadeel -Madinat Jumeirah Living ,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1,1,70.48,2280000.0,32349.6,758.64672,3005.351423650787
1-11-2025-34545,Sales,Sell,2025-08-18,Unit,Flat,Residential,Existing,Al Barsha South Fourth,KENSINGTON MANOR,KNIGHT BRIDGE COURT & KENSNGTON MANOR,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,29.78,400000.0,13431.83,320.55192,1247.8477745508435
1-102-2025-105777,Sales,Sell - Pre registration,2025-10-22,Unit,Flat,Residential,Off-Plan,Wadi Al Safa 5,Kensington Gardens,Kensington Gardens,IMG World Adventures,Business Bay Metro Station,Dubai Mall,1,1,91.45,1227756.0,13425.44,984.3678,1247.2533132432816
1-102-2025-103019,Sales,Sell - Pre registration,2025-10-15,Unit,Flat,Residential,Off-Plan,Jabal Ali First,Serene Gardens 2 By Prescott,Serene Gardens 2 by Prescott,Dubai Cycling Course,Emirates Towers Metro Station,Dubai Mall,Studio,1,37.05,699000.0,18866.4,398.80619999999993,1752.7310257463403
1-102-2025-16081,Sales,Sell - Pre registration,2025-02-27,Villa,Villa,Residential,Off-Plan,Al Yufrah 1,Sunset Bay four by Imtiaz,The Valley - Kaia,IMG World Adventures,Business Bay Metro Station,Dubai Mall,3,0,174.0,2790888.0,16039.59,1872.936,1490.1139174002742
1-102-2024-70861,Sales,Sell - Pre registration,2024-09-12,Unit,Flat,Residential,Off-Plan,Al Barsha South Fourth,NEVA RESIDENCES,NEVA RESIDENCES,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,2,1,103.73,1130455.0,10898.05,1116.54972,1012.4537938176188
1-102-2025-87023,Sales,Sell - Pre registration,2025-09-11,Unit,Flat,Residential,Off-Plan,Dubai Investment Park Second,DAMAC Riverside Views - Marine 1 -B,DAMAC RIVERSIDE VIEWS - MARINE 1 ,Sports City Swimming Academy,Damac Properties,Marina Mall,1,1,76.19,1247000.0,16366.98,820.10916,1520.5292914909035
1-102-2025-102844,Sales,Sell - Pre registration,2025-10-14,Unit,Flat,Residential,Off-Plan,Madinat Dubai Almelaheyah,MAR CASA,MAR CASA,Burj Khalifa,Al Ghubaiba Metro Station,Dubai Mall,Studio,1,35.06,925000.0,26383.34,377.38584,2451.072356079921
1-102-2025-95123,Sales,Sell - Pre registration,2025-10-01,Unit,Flat,Residential,Off-Plan,Al Barsha South Second,Sky Hills Astra Tower B,Skyhills Astra,Motor City,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Studio,1,35.79,762776.0,21312.55,385.24355999999995,1979.9837796120462
1-11-2025-37277,Sales,Sell,2025-09-04,Unit,Flat,Residential,Existing,Al Kifaf,1 Residences - 1,1 Residences ,Burj Khalifa,Al Jafiliya Metro Station,Dubai Mall,1,1,86.73,2150000.0,24789.58,933.56172,2303.0078825425703
