contract_id,contract_start_date,annual_amount,ejari_property_sub_type_en,area_name_en
CNT2132041987,2025-06-15,2992080,Studio,Jabal Ali First
CRT2133976806,2026-01-01,3223440,Room in labor Camp,Jabal Ali Industrial First
CRT2132953606,2025-09-10,140000,2 bed rooms+hall,Marsa Dubai
CRT2132384696,2025-07-20,180000,2 bed rooms+hall,Marsa Dubai
CNT2131228988,2025-06-09,20000,Office,Al Karama
CNT2128801827,2025-02-15,54450,2 bed rooms+hall,Al Raffa
CNT2132567723,2025-10-02,35999,1bed room+Hall,Ras Al Khor Industrial Third
CNT2131208768,2025-06-03,85510,Office,Nadd Hessa
CNT2129958718,2025-02-27,15000,Office,Al Goze Industrial First
CNT2129124433,2025-01-10,135000,1bed room+Hall,Business Bay
CNT2134328390,2026-01-20,20000,Office,Dubai Investment Park First
CNT2130620557,2025-05-01,36383,2 bed rooms+hall,Muhaisanah Fourth
CNT2128961146,2025-02-03,12000,Office,Al Raffa
CNT2131814962,2025-07-21,32005,Studio,Jabal Ali First
CNT2133958494,2025-11-05,100000,3 bed rooms+hall,Al Mamzer
CNT2131965909,2025-07-23,15000,Office,Burj Khalifa
CNT2130430395,2025-03-15,210000,1bed room+Hall,Al Karama
CNT2134225805,2026-01-13,78000,1bed room+Hall,Al Jadaf
CNT2126823356,2025-01-01,66150,Shop,Al Barsha Third
CNT2133414483,2025-11-08,15000,Office,Al Raffa
CNT2133905955,2025-09-28,305775,Shop,Saih Shuaib 2
CNT2129605127,2025-02-13,15000,Office,Al Goze Industrial First
CNT2133031052,2025-10-15,20000,Office,Trade Center First
CNT2132776445,2025-09-01,282000,Room in labor Camp,Muhaisanah Second
CNT2132241147,2025-08-09,63900,Room in labor Camp,Saih Shuaib 2
CNT2126409320,2025-01-10,50000,1bed room+Hall,Al Raffa
CNT2132579915,2025-07-05,46000,1bed room+Hall,Al Warqa First
CNT2133935883,2026-01-03,90000,2 bed rooms+hall,Madinat Al Mataar
CNT2133997411,2025-12-25,78650,Shop,AL TWAR FIFTH
