transaction_id,trans_group,procedure_name,instance_date,property_type,property_sub_type,property_usage,reg_type,area_name,building_name,project_name,nearest_landmark,nearest_metro,nearest_mall,rooms,has_parking,procedure_area,actual_worth,meter_sale_price
1-102-2024-86780,Sales,Sell - Pre registration,2024-10-16,Unit,Flat,Residential,Off-Plan Properties,Business Bay,Rove Home Marasi Drive,Rove Home Marasi Drive,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Studio,1,36.62,1105330.0,30183.78
1-11-2025-5803,Sales,Sell,2025-02-12,Villa,Villa,Residential,Existing Properties,Wadi Al Safa 5,,La Rosa 5,,,,3 B/R,0,161.0,2775000.0,17236.02
1-11-2024-41442,Sales,Sell,2024-10-30,Unit,Flat,Residential,Existing Properties,Al Jadaf,Binghatti Avenue,Binghatti Avenue,Downtown Dubai,Healthcare City Metro Station,Dubai Mall,3 B/R,1,229.62,2200000.0,9581.05
1-102-2025-16338,Sales,Sell - Pre registration,2025-02-27,Villa,Villa,Residential,Off-Plan Properties,Al Yufrah 1,,The Valley - Kaia,,,,3 B/R,0,174.01,2746888.0,15785.81
1-102-2024-46194,Sales,Sell - Pre registration,2024-06-27,Unit,Flat,Residential,Off-Plan Properties,Al Yelayiss 2,Grove on the Park,Grove ,Dubai Cycling Course,,,2 B/R,1,96.77,1197888.0,12378.71
1-11-2024-20886,Sales,Sell,2024-06-10,Unit,Flat,Residential,Existing Properties,Madinat Al Mataar,URBANA STACKED HOUSE BLOCK-34,URBANA,Al Makhtoum International Airport,,,2 B/R,1,112.39,1075000.0,9564.91
1-102-2025-130317,Sales,Sell - Pre registration,2025-12-22,Unit,Flat,Residential,Off-Plan Properties,Al Barshaa South Second,SAAS HILLS,SAAS Hills,Motor City,First Abu Dhabi Bank Metro Station,Mall of the Emirates,1 B/R,1,87.0,1689561.0,19420.25
1-11-2025-15482,Sales,Sell,2025-04-17,Unit,Flat,Residential,Existing Properties,Palm Jumeirah,THE PALM TOWER,THE PALM TOWER,Burj Al Arab,Palm Jumeirah,Marina Mall,1 B/R,1,97.98,4150000.0,42355.58
1-102-2025-63950,Sales,Sell - Pre registration,2025-07-17,Unit,Flat,Residential,Off-Plan Properties,Ras Al Khor Industrial First,The Element at Sobha One,The Element at Sobha One,,,,1 B/R,1,70.05,1903875.0,27178.8
1-11-2025-11701,Sales,Sell,2025-03-20,Unit,Flat,Residential,Existing Properties,Al Barsha South Fourth,Signature Livings - North,SIGNATURE LIVINGS,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,Studio,1,37.01,709000.0,19156.98
1-102-2025-85292,Sales,Sell - Pre registration,2025-09-08,Unit,Flat,Residential,Off-Plan Properties,Wadi Al Safa 2,BELGRAVIA GARDENS - TOWER B,BELGRAVIA GARDENS,IMG World Adventures,,,2 B/R,1,111.48,2033828.0,18243.88
1-102-2025-97552,Sales,Sell - Pre registration,2025-10-01,Unit,Flat,Residential,Off-Plan Properties,Al Jadaf,Binghatti Starlight,Binghatti Starlight,,,,Studio,1,40.8,939000.0,23014.71
1-41-2025-8117,Sales,Delayed Sell,2025-03-05,Land,,Other,Existing Properties,Al Yelayiss 1,,DAMAC ISLANDS - MALDIVES 1,,,,,0,144.0,2588000.0,17972.22
1-11-2025-26872,Sales,Sell,2025-06-26,Unit,Flat,Residential,Existing Properties,Al Khairan First,Harbour Views T2,HARBOUR VIEWS,,,,2 B/R,1,112.95,2500000.0,22133.69
1-102-2024-93885,Sales,Sell - Pre registration,2024-11-07,Unit,Flat,Residential,Off-Plan Properties,Al Hebiah Second,Azizi Mirage 1,Azizi Mirage 1,Motor City,Dubai Internet City,,Studio,1,34.74,526220.0,15147.38
1-102-2024-54631,Sales,Sell - Pre registration,2024-07-26,Unit,Flat,Residential,Off-Plan Properties,Al Barsha South Fourth,HELVETIA RESIDENCES,HELVETIA RESIDENCES,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,68.53,1062000.0,15496.86
1-11-2025-17256,Sales,Sell,2025-04-28,Unit,Flat,Residential,Existing Properties,Warsan Fourth,Easy 18,Easy18,,Rashidiya Metro Station,City Centre Mirdif,Studio,1,29.69,380000.0,12798.92
1-102-2025-9164,Sales,Sell - Pre registration,2025-02-06,Unit,Hotel Apartment,Hospitality ,Off-Plan Properties,Al Safouh First,Biltmore Sufouh,Biltmore Sufouh,Burj Al Arab,Dubai Internet City,Mall of the Emirates,1 B/R,1,59.88,1500000.0,25050.1
1-102-2025-47348,Sales,Sell - Pre registration,2025-06-09,Unit,Flat,Residential,Off-Plan Properties,Bukadra,PARKWAY by Prestige One,PARKWAY BY PRESTIGE ONE ,Downtown Dubai,Creek Metro Station,Dubai Mall,1 B/R,1,67.76,1490000.0,21989.37
1-11-2024-8703,Sales,Sell,2024-03-08,Unit,Flat,Residential,Existing Properties,Business Bay,Marquise Square Tower,MARQUISE SQUARE TOWER,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Studio,1,47.99,1250000.0,26047.09
