area_id,name_en
510,Al Yelayiss 5
262,Al-Zarouniyyah
307,Al Safouh First
496,Le Hemaira
432,Palm Deira
294,Lehbab
281,Al Asbaq
434,Wadi Al Safa 6
311,Muhaisanah Third
257,Al Khawaneej
373,Al Goze Industrial Fourth
229,Um Suqaim
384,Bur Dubai
338,Al Goze First
385,Muashrah Al Bahraana
325,Um Hurair First
444,Al Hebiah First
473,AL Athbah
249,Al Muteena
531,Al Hebiah Sixth
422,Sikka Al Khail
396,Al Khawaneej First
247,Al Khabeesi
243,Al-Safiyyah
241,Al Qusais
356,Al Rega
462,Madinat Al Mataar
467,Wadi Al Safa 5
255,Rega Al Buteen
283,Al Fahidi
419,Sikkat Al Khail South
365,Al Hudaiba
359,Al Twar Third
452,Al Hebiah Second
367,Al Suq Al Kabeer
232,Mirdif
426,Souq Sikkat Al Khail
287,Al Sanaiyya
451,Al Hebiah Fifth
320,Al Qusais Industrial Second
269,Al Hamriya
392,Nazwah
264,Nad Al Hamar
479,Jabal Ali Industrial Third
285,Nad Al Shiba
519,Al Layan1
387,Al-Bastakiyah
323,Al Qusais Industrial Fifth
417,Sikkat Al Khail North
337,Nad Al Shiba Third
248,Um Ramool
428,Souq Al-Lariyyah
319,Ras Al Khor Industrial Second
350,Al Thanyah Fifth
429,Al Zaroob
505,Madinat Hind 4
300,Al Rashidiya
347,Al Goze Third
327,Nad Shamma
442,Al Barsha South Fifth
512,Al Hathmah
304,Um Suqaim Second
277,Al Qoaz
297,Al Warqa First
268,Al Musalla (Dubai)
436,Festival City First
253,Al-Riqqa West
343,Al Warsan First
514,Ghadeer Barashy
456,Jumeira Island First
530,Jumeira Island 2
331,Zaabeel First
308,Al Goze Industrial First
335,Nad Al Shiba First
474,OUD AL MUTEENA
427,Nad Rashid
310,Al Twar Second
527,Island 2
424,Al-Qiyadah
403,Al Mizhar Third
468,Yaraah
483,Warsan Fourth
389,Tareeq Abu Dhabi
477,Mena Jabal Ali
450,Al Warqa Fifth
282,Ras Al Khor
478,Jabal Ali Industrial Second
275,Shandagha West
415,Al Barshaa South First
317,Jumeirah First
234,Hor Al Anz East
267,Al Raffa
489,Lehbab First
395,Jabal Ali Industrial First
364,Al Wasl
378,Al Garhoud
425,Al-Dzahiyyah Al-Jadeedah
290,Al-Nabgha
326,Um Hurair Second
440,Almeydan
495,Mereiyeel
302,Tawi Al Muraqqab
416,Cornich Deira
279,Tawaa Al Sayegh
501,Remah
333,Madinat Dubai Almelaheyah
448,Al Khairan  Second
391,Al Lusaily
261,Souq Al-Tamar
379,Al-Shumaal
309,Al Goze Industrial Third
471,Al Rowaiyah Third
288,Al Marmoom
516,Al Oshoosh
254,Al Buteen
