procedure_id,is_pre_registration,name_en
460,0,Sale On Payment Plan
133,0,Development Registration
4,0,Adding Land By Sell
107,1,Lease to Own Registration Pre-Registration
715,0,Delayed Sell Lease to Own Registration
11,0,Sell
371,0,Lease Development Registration
814,0,Lease to Own on Development Registration
95,0,Delayed Development
41,0,Delayed Sell
851,1,Development Registration Pre-Registration
93,0,Delayed Sell Development
150,0,Portfolio Development Registration
361,0,Delayed Lease to Own Registration
852,1,Sell Development - Pre Registration
110,0,Lease to Own Registration
45,0,Sell Development
102,1,Sell - Pre registration
